Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX4294043	8889184	6678350	34375	420075	0	0	0	0	21922	0	0	0	0	1305802	249731	178929	75.12894321908513						ERX4294043_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8889184.0	0.0	20-70	34.0	16.00302037453427	69.89341158873525	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass	8905340	12471	8905340	623373800	86063	623271893	0.0163476552912554					
ERX4294044	7294605	5849142	15517	217019	0	0	0	0	34833	0	0	0	0	753365	251729	173000	80.18449251193177						ERX4294044_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7294605.0	0.0	20-70	34.0	17.18313806779321	69.93645111695561	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass	7303596	9245	7303596	511251720	59536	511180691	0.0138931561931957					
ERX4294045	7378696	5888184	37303	209854	0	0	0	0	49449	0	0	0	0	742924	252160	198822	79.79979118261546						ERX4294045_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7378696.0	0.0	20-70	35.0	17.2688103875019	69.95505845477304	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass	7386071	28627	7386071	517024970	748728	516239111	0.1519963339488226					
ERX4294046	7841200	6216288	24195	296146	0	0	0	0	24106	0	0	0	0	776827	299767	203871	79.27725348160996						ERX4294046_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7841200.0	0.0	20-70	34.0	17.762583135946297	69.90042672039993	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass	7854205	10314	7854205	549794350	75276	549705185	0.0162178821954063					
ERX4294047	7567738	5884749	43742	247560	0	0	0	0	28858	0	0	0	0	1021734	200704	140391	77.76100335397447						ERX4294047_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7567738.0	0.0	20-70	34.0	15.083679200517988	69.987271493807	pass	pass	warn	pass	fail	pass	fail	warn	fail	warn	pass	7578150	43585	7578150	530470500	1143145	529276913	0.2250053490250635					
ERX4294048	7135160	5337131	34126	503888	0	0	0	0	11959	0	0	0	0	984568	173752	89736	74.80043895301577						ERX4294048_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7135160.0	0.0	20-70	35.0	15.613994542865557	69.97990542608716	pass	pass	warn	pass	fail	pass	fail	warn	fail	fail	pass	7156922	99741	7156922	500984540	2650198	498223969	0.5510291794633024					
ERX4294049	7912336	6102431	32465	231636	0	0	0	0	37178	0	0	0	0	1117330	241707	149589	77.12552904730032						ERX4294049_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7912336.0	0.0	20-70	35.0	14.73869777671522	69.9876706449271	pass	pass	warn	pass	fail	pass	fail	warn	fail	warn	pass	7921870	9912	7921870	554530900	62451	554455626	0.0135743562712195					
ERX4294050	7088065	5493719	35439	308850	0	0	0	0	25770	0	0	0	0	854453	229087	140747	77.50661146589373						ERX4294050_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7088065.0	0.0	20-70	35.0	15.209335092859217	69.98611468715369	pass	pass	warn	pass	fail	pass	fail	warn	fail	warn	pass	7099912	49495	7099912	496993840	1332433	495605120	0.279423986422045					
ERX4294051	8111559	6475080	33187	250527	0	0	0	0	24616	0	0	0	0	875225	251719	201205	79.82534553468699						ERX4294051_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8111559.0	0.0	20-70	34.0	16.779308274000517	69.93481080517321	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass	8122717	9699	8122717	568590190	62950	568514483	0.0133148621505411					
ERX4294052	7471453	5802740	23892	319770	0	0	0	0	36108	0	0	0	0	907904	215595	165444	77.66548220272549						ERX4294052_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7471453.0	0.0	20-70	34.0	18.177206876080408	69.90788565490541	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass	7483594	51393	7483594	523851580	1359505	522432691	0.2708570622236168					
ERX5228512	13443098	10886894	3418	57975	0	0	0	0	0	0	0	0	0	1978458	503631	12722	80.98500806882461						ERX5228512_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13443098.0	0.0	20-50	35.0	11.69338848319648	49.54654834770973	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	13444263	4628219	13444263	672213150	576411	666059774	0.9153906019244046					
ERX5228513	11554685	9268712	4777	63374	0	0	0	0	0	0	0	0	0	1770480	435730	11612	80.21605089191094						ERX5228513_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11554685.0	0.0	20-50	34.0	12.17539356154822	49.543610146014366	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	11555031	4002175	11555031	577751550	497659	572461489	0.9156290450454004					
ERX5228514	14674928	12007900	5889	60253	0	0	0	0	0	0	0	0	0	2045614	541565	13707	81.82595512564014						ERX5228514_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14674928.0	0.0	20-50	35.0	11.579212130529877	49.54540294848465	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	14675191	5056646	14675191	733759550	631973	727075863	0.9108824546133676					
ERX5228515	12060209	9555437	10207	53285	0	0	0	0	0	0	0	0	0	1934630	495908	10742	79.2311061939308						ERX5228515_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12060209.0	0.0	20-50	34.0	11.840696339543696	49.54836918663681	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	12061441	4134615	12061441	603072050	514101	597564997	0.9131666771822704					
ERX5228516	9302714	7550116	1770	50652	0	0	0	0	0	0	0	0	0	1346414	345728	8034	81.16035814924548						ERX5228516_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9302714.0	0.0	20-50	35.0	12.989731080732517	49.54327565052521	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	9302999	3172519	9302999	465149950	460830	460887692	0.9163191353669928					
ERX5228517	13463831	11087734	1660	58875	0	0	0	0	0	0	0	0	0	1814054	490245	11263	82.35199921924153						ERX5228517_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13463831.0	0.0	20-50	35.0	11.224348591466644	49.54823638234912	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	13464084	4594945	13464084	673204200	580136	667109671	0.9053016900369902					
Metab_1	8303967	5701939	1474757	304463	0	0	0	0	73266	0	0	0	0	373847	204534	171161	68.66524156466421	8303967.0	7999504.0	96.33	304463.0	3.67	Metab_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8303967.0	0.0	20-51	37.0	18.18019937057701	50.409884215580334	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	8307857	3504076	8307857	423700707	432723	418643749	1.1935212560313242					
Metab_10	6168659	4672167	589375	207586	0	0	0	0	52789	0	0	0	0	349478	159277	137987	75.74039997996323	6168659.0	5961073.0	96.63	207586.0	3.37	Metab_10_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6168659.0	0.0	20-51	36.0	20.20115843256038	50.57430683070664	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6171996	2622372	6171996	314771796	334389	310981409	1.204169829751837					
Metab_11	5043655	3062767	1299633	210231	0	0	0	0	41329	0	0	0	0	227546	99998	102151	60.7251487264692	5043655.0	4833424.0	95.83	210231.0	4.17	Metab_11_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5043655.0	0.0	20-51	39.0	21.537444170387083	50.42600058885868	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5046303	1623795	5046303	257361453	97284	255272483	0.8116872109826021					
Metab_12	6432506	4723832	836156	202599	0	0	0	0	43575	0	0	0	0	345304	147651	133389	73.43688447395152	6432506.0	6229907.0	96.85	202599.0	3.15	Metab_12_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6432506.0	0.0	20-51	37.0	19.472051665501244	50.57644516771535	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6436157	2139354	6436157	328244007	125481	325515674	0.8311904990850297					
Metab_13	6458985	4789298	728102	240431	0	0	0	0	56280	0	0	0	0	288412	194325	162137	74.14939034538709	6458985.0	6218554.0	96.28	240431.0	3.72	Metab_13_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6458985.0	0.0	20-51	36.0	20.61591274378638	50.41193422805596	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	6462445	2153693	6462445	329584695	127346	326836937	0.833703154814273					
Metab_14	6056051	4244954	952742	241559	0	0	0	0	49491	0	0	0	0	253412	166742	147151	70.09442291684795	6056051.0	5814492.0	96.01	241559.0	3.99	Metab_14_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6056051.0	0.0	20-51	37.0	20.869077755756013	50.41887890310039	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	6058726	2534734	6058726	308995026	301999	305369023	1.1734826436979604					
Metab_15	6859750	4194833	1860118	233794	0	0	0	0	56865	0	0	0	0	210982	154346	148812	61.1513976456868	6859750.0	6625956.0	96.59	233794.0	3.41	Metab_15_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6859750.0	0.0	20-51	40.0	16.514245647839505	50.59208105251649	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6863376	2177251	6863376	350032176	130341	347231159	0.8002170063360119					
Metab_16	6290380	3783961	1805479	202900	0	0	0	0	44355	0	0	0	0	213257	120279	120149	60.1547283311978	6290380.0	6087480.0	96.77	202900.0	3.23	Metab_16_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6290380.0	0.0	20-51	40.0	17.947723073355878	50.58886839904744	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6294053	2008090	6294053	320996703	124130	318407791	0.8065229255641295					
Metab_17	5622695	3618319	1243730	218333	0	0	0	0	44541	0	0	0	0	259307	130583	107882	64.352041147528	5622695.0	5404362.0	96.12	218333.0	3.88	Metab_17_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5622695.0	0.0	20-51	38.0	21.73296389430743	50.41420493197657	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5625700	1820598	5625700	286910700	109230	284577625	0.8131711365243611					
Metab_18	4627973	2830919	1187706	189266	0	0	0	0	30481	0	0	0	0	193964	103819	91818	61.169738890006485	4627973.0	4438707.0	95.91	189266.0	4.09	Metab_18_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4627973.0	0.0	20-51	39.0	20.985540708876066	50.58945309317924	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	4629977	1485385	4629977	236128827	85605	234226698	0.8055471346579807					
Metab_19	6767120	4547175	1392218	212954	0	0	0	0	53441	0	0	0	0	287795	138464	135073	67.19512879925286	6767120.0	6554166.0	96.85	212954.0	3.15	Metab_19_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6767120.0	0.0	20-51	38.0	19.965132444053715	50.42161569471208	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6770485	2800435	6770485	345294735	355822	341245684	1.172636182825087					
Metab_2	5246439	2880135	1728451	205495	0	0	0	0	57238	0	0	0	0	174955	103648	96517	54.89695010272682	5246439.0	5040944.0	96.08	205495.0	3.92	Metab_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5246439.0	0.0	20-51	40.0	20.35029382856132	50.42648909098152	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	5248691	1636859	5248691	267683241	100086	265569592	0.7896082668843658					
Metab_20	7069778	3160527	3206454	242741	0	0	0	0	33131	0	0	0	0	253105	94079	79741	44.70475593434476	7069778.0	6827037.0	96.57	242741.0	3.43	Metab_20_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7069778.0	0.0	20-51	42.0	16.362976536066654	50.44841648493065	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	7073047	2153762	7073047	360725397	135288	357929092	0.7751893887305085					
Metab_3	6433960	4262215	1352980	221136	0	0	0	0	52115	0	0	0	0	262438	154011	129065	66.24559369346406	6433960.0	6212824.0	96.56	221136.0	3.44	Metab_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6433960.0	0.0	20-51	38.0	20.04191829386024	50.41258835926863	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6437211	2701441	6437211	328297761	343422	324388038	1.1909076041490274					
Metab_4	4989656	3524996	761866	211878	0	0	0	0	49695	0	0	0	0	202748	125442	113031	70.6460725949845	4989656.0	4777778.0	95.75	211878.0	4.25	Metab_4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4989656.0	0.0	20-51	38.0	22.081237344158268	50.58043019398532	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	4992202	1630451	4992202	254602302	103950	252506543	0.8231500593423542					
Metab_5	5379681	4208200	388612	173355	0	0	0	0	50165	0	0	0	0	294638	141867	122844	78.22396904203056	5379681.0	5206326.0	96.78	173355.0	3.22	Metab_5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5379681.0	0.0	20-51	36.0	23.27507424606851	50.40210934440165	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5382463	1806347	5382463	274505613	107026	272206393	0.837585787362388					
Metab_6	5488237	4273125	395098	190979	0	0	0	0	58626	0	0	0	0	288030	147636	134743	77.85970248733793	5488237.0	5297258.0	96.52	190979.0	3.48	Metab_6_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5488237.0	0.0	20-51	36.0	21.370445425940765	50.5727737340789	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	5491563	1844035	5491563	280069713	108599	277722001	0.8382598656785142					
Metab_7	7284637	4486154	1960035	222050	0	0	0	0	48443	0	0	0	0	320935	120805	126215	61.583768690190055	7284637.0	7062587.0	96.95	222050.0	3.05	Metab_7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7284637.0	0.0	20-51	40.0	16.405530272145924	50.590332092045216	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	7288919	2315215	7288919	371734869	141518	368746289	0.8039547132179307					
Metab_8	6702463	4439736	1438083	234814	0	0	0	0	45671	0	0	0	0	286354	132724	125081	66.24036566856094	6702463.0	6467649.0	96.5	234814.0	3.5	Metab_8_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6702463.0	0.0	20-51	38.0	20.832979329235307	50.41370418605817	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6706070	2174584	6706070	342009570	129754	339214626	0.8172122201141916					
Metab_9	6668238	4568389	1184760	230636	0	0	0	0	54520	0	0	0	0	338054	157650	134229	68.50968726671124	6668238.0	6437602.0	96.54	230636.0	3.46	Metab_9_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6668238.0	0.0	20-51	37.0	20.31113700308735	50.41463097148002	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	6672000	2188682	6672000	340272000	132081	337471000	0.8231649974138336					
Mia_0	5442669	4510384	10326	97958	0	0	0	0	8151	0	0	0	0	613677	169780	32393	82.87081209605067	5442669.0	5344711.0	98.2	97958.0	1.8	Mia_0_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5442669.0	0.0	20-76	36.0	23.029199341576984	74.48171329176917	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	5445146	2142281	5445146	411637312	185030	408508770	0.7600239115350165	0.0783	0.371	0.5507		
