Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
USA300HOU_RS00040,-0.013493615385005318,-0.022783762237511482,-0.013127838346625407,-0.006834323940468353,0.005890479446637156,-0.012450511775451735,0.08996112537632403,-0.021202087540984568,-0.005891913481999783,0.016527498614879847,0.024800607718661303,-0.0030911587894231966,-0.011178597762960167,-0.011409255332238208,-0.0018701226637414506,0.046463779200913796,0.004186432044544077,0.018121535029592142,0.023258438890362068,-0.0004299603169092103,-0.009449421656685022,-0.025940207918772648,-0.014325830728827663,-0.029317408451867696,0.04314791961812577,0.015476332667242153,0.008744892917377357,0.018072378104099663,0.010419318627324724
USA300HOU_RS00045,-0.009885210444397748,0.006313825782758888,-0.007963293185536667,0.012104610738518571,0.0044148899966751035,-0.011778175586863298,-0.004413222970180178,-0.0009827064778638267,0.013579120315624235,-0.008258529745131611,-0.02166022852318074,-0.007151792226938578,-0.00012062488185821646,-0.010145911402053122,-0.00532884410347951,0.011393319254796615,-0.0005017429549639041,-0.006036972995527018,-0.025344200755311172,0.0033672616503836886,0.031727540540136705,-0.012599953152191415,-0.01565790579765509,0.0029883270330031066,-0.00705543095950096,0.03637849684127412,-0.03399373384236189,-0.0016177305878927067,0.02724874534377131
USA300HOU_RS00050,0.04180197807455321,0.01711200475165858,0.0029444313759794606,0.0024964679475666805,0.009259002160133275,-0.001795839111186058,-0.015159760299142795,-0.003601390797229281,-0.0018681358351787984,-0.027998001831960977,0.01294452985412833,-0.006985192588682987,-0.004955465648226469,0.0005089720432979,-0.0022117160944800617,-0.021260353148934166,-0.011840197329946017,0.01855503668501034,0.0004464630850745416,-0.012209883273727698,-0.0007817198256366633,0.01379719683679949,-0.02125422237599276,-0.004620168912089835,0.005373873937994409,0.02918644519780029,-0.048361396087411544,0.0021656552000230153,0.005832184777916679
USA300HOU_RS00055,0.0424001171904456,0.031107913443687747,0.00528213606032782,-0.0046821563555485045,0.006790843297715041,0.007143106875584429,-0.015456009468959675,0.0010276498189064375,0.0022924187527673364,-0.020474827887757674,0.008158272028545483,-0.0010155976072300696,-0.009947409449943219,0.006059136235588948,-0.004778656750211753,-0.03073784248340114,-0.013927660641603097,-0.007330509532935115,-0.0014226867272703148,-0.01375580041575096,0.0014455971727801373,0.009796934666965088,-0.0375767133986493,-0.0023595969075588803,-0.006065538510635493,0.024004712688354406,-0.034917201663654154,-0.0027591018241156767,0.0013788490180774212
USA300HOU_RS00060,0.05546770293457841,-0.0007780701601431917,-0.0017782988784628946,-0.007575428545443902,0.000535399385433457,0.00879599354016105,-0.0062858641354495174,-0.003047037889469576,-0.007765226925503029,0.007227823419374051,0.00019738820457718858,-0.003305160653756733,-0.005632073921571326,0.00010858170950301576,-0.0009209981362406439,-0.026645598409167612,0.0031797221352473514,0.01045081982662676,-0.02108928077667873,-0.013657439913261139,-0.0027106003719003613,0.023750023725246948,-0.01049430317058076,-0.007592054897041988,0.007458822740605703,0.02358104480173665,-0.011712612513804833,0.02505116709331276,-0.01602370612251211
USA300HOU_RS00065,0.0008118406435126026,-0.012918761412229458,-0.0031854516539326838,-0.0017655882574666582,0.006697027099108784,-0.009343271335348277,-0.007536149052482596,0.004030981981818449,-0.0017737941331897582,0.009689498862772337,0.006786819218000653,-0.0038964687276228406,-0.017822711001940925,-0.003490612411591302,-0.0032550661236782287,-0.006500151826620668,-0.00768413470875744,-0.011737365007627064,-0.007671455223250032,-0.003065915903065171,-0.004899538792486347,-0.009495232749165711,0.011256084412125455,-0.004980934655918809,-0.017832896096599393,0.012993053135827666,0.005847170072675955,0.005348476385195878,0.0007988186164285111
USA300HOU_RS00070,0.0009513076250903382,-0.013570004492895884,-0.0023550674958437855,-0.010143138957125796,-0.0034542817025647763,0.0008854480660183271,-0.0022978855673797464,0.00455403097715177,0.0019475608357314145,0.006144769530636514,0.002814394456940607,-0.0009648632091098767,-0.01210331852096022,-0.028239197451731646,-0.0036716724308372634,-0.005191074479442982,0.006563956086359576,-0.0009236072158092844,-0.0005201903561348768,-9.596725505580915e-05,-0.0028214176851446998,-0.0023103927422610786,-0.0009338049361485705,-0.00021395478927856235,-0.004664785660293579,0.005242481820458655,0.00018485844679058192,0.005090258797020625,-0.012514865556381611
USA300HOU_RS00075,-0.00660550515627151,-0.009590425402171471,-0.0017640270301745261,-0.012860371053234761,0.0006003579948519792,-0.004588917387838772,-0.005329617134284981,0.004102750607297351,0.0016109519518911666,0.010429227823809555,-0.012951579395274087,-0.00041975224268167696,-0.0029123704248191174,-0.014948158770110728,-0.0036427876541432315,0.003582267982749064,0.003002641640123877,-0.013357421498704091,0.010925588164688811,-0.0022260259198585296,0.0037747293356958007,0.012756362845677896,0.00034374398939938266,-0.0038238579084412198,-0.007599035944898848,0.0036452430822431184,-0.00291444537790649,0.009353116341850773,-0.007670305395536954
USA300HOU_RS00080,-0.0021584215528163207,-0.0005069312059684896,-0.0027957442385054387,-0.004824684785121155,1.2113235822668441e-05,-0.008719521737146062,-0.002040400876617089,0.005430501450931178,-0.005062622102965378,0.010902957345409092,-0.004348400784243583,0.0005813995053226155,-0.010984764376159646,-0.029052580580092274,-0.003091619442694391,-0.0051256190605864105,0.014566756565690585,-0.014244938859965743,0.013380385999643031,-0.006521645271035501,0.0019999009979126034,-0.0033188308260551306,-0.00752770799622768,-0.006682758245776613,8.85079801413288e-05,0.013418742022336509,-0.0118541291899753,0.0034903991404695084,-0.016883993678349862
USA300HOU_RS00085,-0.012249961712837624,-0.024048146063328637,-0.0007431941281765217,-0.02044638735344287,-0.01582343752724373,0.07058532671528296,-0.011583349427110678,0.023484959147361994,0.004023690661323509,0.0043517946147282145,0.035736689997724815,-0.009722250721057101,-0.009240700017648165,0.025011372032489113,0.009754067974593484,0.05227957699937176,0.030441137364958234,-0.00907134000051887,-0.04389943150502303,0.007327192484001806,0.015123091486669118,0.004913417496841468,0.0018806280663413153,-0.003764074907106571,0.010994799581089527,-0.010818113210360903,0.038150044667033624,-0.0029932455161221184,0.013497688458349085
