Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
USA300HOU_RS00040,-0.03933277972555167,-0.0049447916370433526,-0.01706465127243367,0.006141866081355479,-0.031557244855387974,0.0007336276826968299,0.00586950310720344,0.10645220409536352,-0.010919763681561428,-0.01572349054722368,0.012347319530002798,0.00490721200657437,0.031758897006301925,-0.016287103659584603,0.02426277519483369,0.009207049628495601,-0.016524443683341432,-0.0003728311340541019,0.008705403788325093,0.033132118125277936,-0.041353873351430585,0.004955869719743963,-0.009467300402520811,0.021218632923033963,0.0024803437696681425,-0.05256834479396998,-0.002884197393546907,-0.01383674722229656,0.005494910329351757,-0.015563255911869179,0.012645613138377731,-0.03725511642410934,0.022751965938294004,0.05366818109299948,-0.023252437421596744,0.018196818269339787,-0.007021333694852795,0.02625009148500422,-0.025754438162930722,-0.0049764992621093955
USA300HOU_RS00045,-0.0010583565704489436,-0.00844347261477067,0.02201920473122456,-0.024064283565682052,-0.01440366612409969,-0.004279018476365793,0.003375372239320923,-0.006925021664219028,0.0037343967391474486,0.0017082312662206262,0.001088025174365491,-0.0074471758420277066,0.0075428298065990515,0.0007057906242951729,-0.020510260312217282,-0.002561804361675221,-0.007888622487299409,-0.007339139684326968,0.03969208057612457,0.01732400059804862,-0.019872148290491404,-0.02786053129475176,0.02008889111230719,-0.005195432535333998,-0.008912610540403399,-0.026349339949136602,-0.002056986373051616,-0.025183760028303095,-0.007678561926728521,-0.03710610326345839,-0.015403782658070398,-0.006044179295576284,0.001950320481959984,0.04112907271846782,0.026976343767791996,-0.002573995699272908,-0.0025556408258201914,-0.002251534968419511,0.006273942122496209,0.03575146278879857
USA300HOU_RS00050,0.005735735939335939,-0.005738559333899709,-0.00378343167804927,-0.01251615456946994,-0.007026834897715468,0.0016565568800788397,8.97314115026081e-05,-0.028330086782541196,0.011835349741703017,0.00413331727287145,-0.012363288389721349,-0.0037446355227449806,-0.013564477558181624,-0.00044200403218138437,-0.02636475521401887,-0.00030097711619624703,0.041047599046776705,0.0006580264754013002,0.0028659003779455705,0.04074856609864981,-0.025110293702533874,-0.04270583757169083,-0.0024500506587099,-0.001567662865719942,-0.01040106018426719,0.012247928404894925,4.713028689949062e-06,0.030740146867383737,0.0036318619799155342,0.0014087176858268795,-0.006529760871045784,0.007049820958699465,-0.008272611301674768,0.028232733036298856,0.017703608237924516,0.015575574007239619,0.0035486801779949758,0.010177502745331303,-0.009063436095238662,-0.012285619379499953
USA300HOU_RS00055,0.02036755664245557,-0.02586381026572572,-0.0005211808383943224,-0.020775789650526323,-0.00435974071599557,-0.0005666784281461882,-0.003938511942219418,-0.030398085392784414,-0.0015835928275787562,0.0027208045450287034,-0.01684718634311226,-0.006484789933900016,-0.016582194609748274,0.005446037625836269,-0.03504075549765511,-0.004484599224243559,0.04207988330103365,-0.004213012778019009,-0.001050220345612688,0.03906641306590757,-0.018278740099324578,-0.03333184886453781,-0.0009382482417884164,-0.004270954059547475,-0.00575165004579821,0.016121820432793494,-0.000989930623710223,0.03567276447138345,0.00710872599579227,0.005607062609756979,0.009255551182928532,0.016750649256781772,-0.017661025710954608,0.028402342397855888,-0.004133004775802794,0.015270494498246757,0.0008925234922839049,0.011790671514954715,0.009977080493608128,-0.016154863353847092
USA300HOU_RS00060,0.0026168622613351442,0.0009378841667102776,0.0035721166636635588,-0.0034800650398057313,-0.014483424048833857,-0.005835098000709942,-0.0011126759808515818,-0.017408019124726417,-0.01684957505454927,-0.010877117326116797,-0.0030140943443937983,-0.004018918225434066,-0.011902669349612795,-0.0003026035956749861,-0.011565963702292008,0.0008753059224178265,0.05294769337321938,-0.006284184115522774,0.023051757236117507,0.030319565360250253,-0.013173280646272876,-0.007977611284436,-0.010704660042568712,0.028506423891434967,-0.007622130014249954,0.021639696622132613,-0.00225149060846096,0.013142058116331004,0.00539121574544339,0.01815328593818309,0.004643972480307873,0.017431554576801712,-0.005853445907983213,-0.022811978622746483,-0.002343953946458513,0.006435185481836781,0.005090853831013514,-0.0018039107706826166,-0.017036962524962826,0.015883424979589673
USA300HOU_RS00065,0.0004507367295288401,0.010532714045153425,-0.006311759380668908,-0.022403214000523728,0.0013861260853598046,-0.017039549637336754,-0.00339355299443536,-0.0063558415096195316,8.649744398652643e-05,-0.00389681768816247,-0.00901800961322892,-0.012731132171368308,-0.005906470652661795,0.0033931182113211026,0.007234695890989426,-0.006344372739500737,0.0015520655471885642,0.00597477144973152,0.005024844996732406,-0.0015912014085921855,-0.0023247775237404803,0.01079094005865905,0.004793343342975052,0.0062549379193942425,-0.005489414717076388,-0.0061540417643241975,-0.003872519278814486,0.0007832585675269868,-0.010368806023534387,0.0026167196442677208,-0.004458422831916796,-0.003630732597432151,-0.0028201804926931895,0.001161814254179813,-0.01038358168211703,0.003079080370957832,0.0025742457664234765,0.0051964100860525594,0.006251759842171798,0.005256693921104644
USA300HOU_RS00070,-0.003047733682909763,0.005720020897790422,-0.003943539070522928,-0.009626655194047623,-0.0022549572110048153,-0.013585877849280073,-0.0026422854579432383,-0.0013116831713560304,-0.014662832667333045,0.00046102991290451013,0.006947884705997062,-0.0041149539833097715,-0.0045219277720538,0.0047077583658598696,0.010752115492976467,0.00538286255427843,0.0010095001134571182,-0.005130407312418165,0.0034110523664478815,0.010367761839201014,0.002617548540733525,0.0026163674714489273,-0.004655041003574235,0.003832541581116421,-0.0028455855649092824,0.0010894659296764252,-0.0035536409620275087,-0.0005807727719056982,-0.013451621310643569,0.006485972382638178,0.003863841466411391,0.010512981850165248,0.004052652441017462,-0.0006373693231652846,-0.002508918752905564,-0.024137180825945053,0.011142845367485351,0.010410301933895078,-0.0015625826203380568,0.005262231694418232
USA300HOU_RS00075,-0.0032343448372231637,-0.004837603634609533,0.0013090667312135801,-0.00948387025782265,-0.009502913370222072,-0.007630943666524035,-0.001710428161074736,-0.0036418878080939805,-0.003361137536356784,-0.002491941439901179,0.004781027942746083,-0.007910484240602686,-0.0023742275460322463,0.005917809820787308,0.013092467218324794,0.004206162973846177,-0.004193928418859662,-0.00341693732491236,-0.00530466685879883,0.011010551154110143,0.00150613451960787,0.0010059205552101582,0.008536052611574016,0.004860263167001556,-0.0005174629421038359,0.014831717080245253,-0.00367089723979843,-0.011258548774296504,-0.018334654710930896,-0.0007967968109788725,-0.008494456013384022,0.0031260581244521553,0.003812670031891543,0.008960623503255582,0.0019398655269432482,-0.018295133479094564,-0.008204083288671218,-0.0029716911241633157,0.009952478204241801,-0.0040692261919731245
USA300HOU_RS00080,-0.005283928525253654,-0.0008732674641737334,0.004356323190469272,-0.01312433716055668,-0.006857559734601904,-0.00811821836057764,-0.004120200300193336,-0.0021659006733894125,-0.006774871056806485,-0.0080665661141799,0.013605366094302278,-0.00854153721691092,-0.000778057777304019,0.006957502736351598,0.0030978383668940467,0.009943482609864152,-0.004301321135679882,-0.0007456674761948626,-0.0067129569122426555,0.028777277946313306,0.008235187979506247,0.004275184587037707,-0.01652798510526686,0.0046770278485381,-0.003167462680258005,0.005377643804552967,-0.004890522453384529,0.012471332249241655,-0.0037659864996024074,-0.002634313005299566,-0.007027341287724059,0.0020394210194271366,0.004831141505978011,-0.0050294368961793,0.0006208188543581758,-0.017294496644664134,0.01175721014242304,0.0009437602277947437,0.01702959356558376,0.0053204964836823165
USA300HOU_RS00085,0.0013920380368189409,-0.02122520658273552,9.878820569033543e-05,0.012176542451591872,0.008310966417640203,-0.01640288505708836,0.008860363507249515,-0.007347739737394956,0.020888931197823996,0.0030132396811269847,0.019879359729795144,-0.028635343417886313,0.04742840883995983,0.002391964977772635,0.0027672990244587453,-0.00700301443056549,-0.003532520110142175,-0.00665008920919559,0.018956941082882577,-0.051578100159128636,-0.045819199606492694,0.00887861797249564,0.0027246107697767464,-0.002916981139375254,-0.01604513447087722,0.01009359343785293,-0.003802370859368382,-0.0483633390815382,-0.024964028562048823,-0.012041407168080475,0.08064458338647128,-0.014745701493703047,-0.0018327894148826554,-0.02306860308213449,-0.009418203558637263,0.02522558551875595,0.03986270220896653,0.02228126183002326,0.013292610615202219,-0.0026544641127842906
