Geneid,CM_1,CM_10,CM_11,CM_12,CM_13,CM_14,CM_15,CM_16,CM_2,CM_3,CM_4,CM_5,CM_6,CM_7,CM_8,CM_9,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,SG_8
USA300HOU_RS00170,9.997084806294211,10.274456495245355,10.257539876425973,10.24487706333502,10.168983549164027,10.10473194295015,0.9444498556461972,0.3615656090643652,10.020965080837351,9.900248386695354,10.038149598410415,10.094523042908143,10.029513325560039,10.145099567633617,10.054588280769119,10.076500253871538,9.351174919684821,9.520079297482123,9.574715025967523,10.3458573930912,9.211046356490098,9.435652631110313,9.475880433510405,9.431714558447933
USA300HOU_RS00175,3.3033820235878832,3.459114730858544,3.3869611063138416,3.3707150678762563,3.5599082361725816,3.8231426745884978,0.13754850629133944,0.0,3.3720498500556584,3.618191103288297,3.3734719529401036,3.5720493706979046,3.470879599777115,3.8979041429476236,3.964478512105897,3.481380921923027,1.9673063095128671,2.851653714036288,2.8063626191146542,3.450824811355532,0.8648637483978874,1.821332288783772,2.0872135713223092,1.7597886087054968
USA300HOU_RS00180,2.3461721222583214,2.2308708643995265,2.5055033775406472,2.570270412729998,3.5833013243812286,3.4748899276355134,0.0,0.0,1.9122194189640571,2.3871897114308043,2.3758776186097683,2.569367405110956,2.3488012573286934,3.3447703949906304,3.2491855983410316,2.266103828949534,1.475775391526654,2.031006883315506,2.5121192103577554,2.5905034560451616,0.3495337492499587,1.879321965042516,1.6539545954805321,1.508981432462246
USA300HOU_RS00185,3.023144009980673,2.5855695759577597,2.448015553364133,2.5399596012672747,3.7462237582028197,3.5073455733388585,0.0,0.0,2.741786191716538,2.5851341368733958,3.1689408070432203,3.2139519689767164,2.506290686835899,3.5839413122463353,3.2692172090985316,2.6569760198885084,1.860570167382549,2.3730013528966603,3.4429043953677128,1.6898097135841454,2.6142752842669865,2.963881369969961,2.3747762989910086,3.0355803014141047
USA300HOU_RS00190,2.740203458575629,2.761433341233197,2.500942031858181,2.745781290046356,3.4448447057198623,3.71613455831789,0.0,0.0,3.0331727246670286,2.8855355222998065,2.922066628033173,2.803061078692889,2.485282863075436,3.9305720004866975,3.5001150821021905,2.243249707165277,2.5636840660024576,2.3113365571904723,3.2470722917253765,2.650024605240147,2.1902779764900946,2.865574020041909,2.330987527259917,2.4681081463596466
USA300HOU_RS00195,5.2607321572815176,4.8758066536068085,4.747297341499557,4.544815972572369,5.834063286549643,5.716956514533273,0.0,0.0,5.1622872855753865,4.8764784510188965,4.855784963266875,5.083302789198128,4.816743378929098,5.741416260512499,5.693176509400075,4.795288638185272,4.792465357608954,5.0290686821964785,5.327973396071095,5.442772382304707,5.8137181667589495,6.005955461885798,5.329969022693128,5.35921331829739
USA300HOU_RS00200,4.878147946799804,4.499514435000009,4.767349247619445,4.8492087460757975,5.386834301461984,5.377572390907082,0.0,0.0,4.933010528924114,4.766616873949786,4.822806982595709,4.957699268579151,4.771294213255467,5.235535671491868,5.3454101245271035,4.811771476035249,4.087030983376239,4.10146751258935,4.5875086940433745,3.7009583426109214,2.6321248542996027,4.417782031847938,4.021395894554471,4.07102945177804
USA300HOU_RS00205,3.5514646678127804,3.447273168118605,3.1707954221192853,3.289356674490575,3.889014673919839,3.9927403830711454,0.06347790621840678,0.0,3.2739830960903387,3.3833686080698784,3.5024080790738594,3.2596550684476115,3.5438598932505334,3.886110304219088,3.923523543145888,3.3912484756609893,2.98800621235623,2.89121621031159,3.638108241808958,3.021774757111544,3.1895869978757063,3.5046590037435235,2.9891619616138883,3.030612440729791
USA300HOU_RS00210,3.0208933607898496,2.841583137236332,1.6998158367358451,2.689321831818833,2.9882492547106407,3.3913018184808843,0.0,0.0,2.8915265816750617,2.743448076691461,3.0532851306065028,2.7109901313098645,2.8758428704037917,3.3340029589534814,3.02629544516788,3.179662443075306,2.6037262685301843,2.5312263270290263,4.176028383963759,3.5036998845769194,2.750968293692544,3.6296141214199307,3.4229683605986185,2.693286890292143
USA300HOU_RS00215,4.7315854186918775,3.5938511210808564,3.953170389569849,4.310409884702884,5.030106617960317,5.025459056122882,0.0,0.0,4.965783078489603,4.5700528978171056,4.6947054547107765,4.473631599118627,5.163926290199663,4.842645446485482,5.410173170265986,4.4085575443543465,4.810183238294763,5.576017906985991,4.441529297293092,4.963829204288291,3.8045410173332352,3.534960892677449,4.110674505559596,4.1791001085983925
