Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX5299661	22958041	13126346	22958041	2892713166	42375755	2734631234	5.4648325958495665
SRX5299662	22928901	13010675	22928901	2889041526	40774205	2735276516	5.322353750065135
SRX5299663	22456888	12686986	22456888	2829567888	43550193	2673749988	5.506773690103455
SRX5299664	23579815	11814224	23579815	2971056690	18180669	2837599414	4.491912808301211
SRX5299665	23879593	13603194	23879593	3008828718	45769784	2840685914	5.588314249797718
SRX5505131	7687623	3380828	7687623	768762300	2900218	761398851	0.9578316990830585
SRX5505132	7559222	2537360	7559222	755922200	205963	752603509	0.4390254711397548
SRX5505133	5297274	1756160	5297274	529727400	149248	527420729	0.43544490996689994
SRX5505134	5046416	1658210	5046416	504641600	140423	502457449	0.4328123167015957
SRX5505135	4947554	1620431	4947554	494755400	140584	492622505	0.43110090359802034
SRX5505136	4893306	1626194	4893306	489330600	132772	487198977	0.43562021259246814
SRX5505137	4074691	1342708	4074691	407469100	114999	405699523	0.4342849555954059
SRX5505138	6193714	2040313	6193714	619371400	181126	616686196	0.43353696990206525
SRX5505139	4381944	1439574	4381944	438194400	128260	436289770	0.4346541169855206
SRX5505140	6671556	2870743	6671556	667155600	2540734	660815931	0.950253434131408
SRX5505141	7224481	2426209	7224481	722448100	205503	719243576	0.44356459654333646
SRX5505142	5711066	1961846	5711066	571106600	358495	568269146	0.49683439133779933
SRX5505143	7674288	2570551	7674288	767428800	211825	764056901	0.43937613495870886
SRX5505144	7667118	2552200	7667118	766711800	204701	763361479	0.4369726669134348
SRX5797722	34049892	12908159	34049892	3439039092	23545317	3382291181	1.650109506809875
SRX5797723	34657582	15977292	34657582	3500415782	82565658	3380586440	3.423288816608358
SRX5797724	33015241	15244313	33015241	3334539341	77632329	3221189488	3.399265727841356
SRX5797725	22585856	8360335	22585856	2281171456	18017665	2243397292	1.655910777799948
SRX5797726	27497608	12695625	27497608	2777258408	68689703	2678868977	3.5426819022884386
SRX5797727	36475238	16804750	36475238	3683999038	86603501	3557898779	3.4229178047901545
SRX5806783	34303844	13344727	34303844	3464688244	3339331	3419784759	1.2960324807798205
SRX5806784	31967000	15313527	31967000	3228667000	22938109	3162029273	2.0639392975491124
SRX5806785	27601428	10728149	27601428	2787744228	2966772	2751404047	1.3035694105291498
SRX5806786	29547562	14114856	29547562	2984303762	25922631	2917238519	2.2472659738583274
SRX5806787	28165734	10869693	28165734	2844739134	2831722	2808465507	1.275112595262663
SRX5806788	28772552	11186530	28772552	2906027752	2923301	2867631460	1.3212637757356145
SRX6877996	6316844	6056869	6316844	473763300	1187216	168781182	64.3743654267859
SRX6877997	17083472	16795937	17083472	1281260400	2114197	184685559	85.58563434880216
SRX6877998	10195753	10126538	10195753	778758196	1915769	222116614	71.4781025559826
SRX6877999	11772042	11466021	11772042	910870638	1170621	385461950	57.682031463176884
SRX6878000	8040728	7934487	8040728	621731967	650463	205371736	66.96780173762563
SRX6878001	54478195	53421340	54478195	4155968665	11110160	2126774413	48.82602386031224
SRX6878002	115009847	113485776	115009847	8776154445	51194236	3229334072	63.203313111247326
SRX6878003	110756562	110022121	110756562	8482153848	126210282	1625594181	80.83512501505385
SRX6878004	50839416	50583687	50839416	3892071886	5830800	1193349437	69.33896721454337
SRX6878005	29554488	29353253	29554488	2268499854	9357739	483712279	78.67699756968995
SRX6878006	49914107	49428040	49914107	3812437055	14537285	1387922532	63.594873515885496
SRX6878007	56958617	56319393	56958617	4365678148	13169825	1250792279	71.34941613657408
SRX6878008	13669177	13505308	13669177	1025188275	7825688	350167104	65.84362964939294
SRX6878009	123479263	122477166	123479263	9438357278	20424778	2053763102	78.24024836623694
SRX6878010	78248618	76511153	78248618	5989027609	21452833	1999044767	66.62154697707624
SRX6878011	16781716	16038041	16781716	1258628700	6974228	543209605	56.841155378071385
SRX6878012	19127033	18256533	19127033	1434527475	7404068	632362165	55.918434744514045
SRX6878013	18935822	18327324	18935822	1467298989	2033783	427051621	70.89539185936152
SRX6878014	36398408	35305547	36398408	2819835720	2863544	818461758	70.97484253444381
SRX6878015	41662928	40418608	41662928	3227606229	3430645	971582753	69.89772964649957
SRX6878016	37285722	36121425	37285722	2887845794	2664848	895791475	68.9806333544138
SRX6878017	13164722	12515284	13164722	987354150	3467166	441786859	55.25548163240111
SRX6878018	17831282	16390391	17831282	1337346150	6278191	702696224	47.45592051840879
SRX6878019	15233620	14935342	15233620	1142521500	3027091	520739796	54.42188212650703
SRX6878020	26346328	25758298	26346328	2014762678	6328280	728459438	63.84390846850897
SRX6878021	39914584	38547930	39914584	3054403683	8988982	1300854803	57.41051484974915
SRX6878022	40359738	38914431	40359738	3083907705	8768356	1387761826	54.999891087856014
SRX6878023	16461425	16069177	16461425	1234606875	3884298	597839327	51.57654318100246
SRX6878024	17019915	16783017	17019915	1276493625	2491180	297191198	76.71816042167856
SRX6878025	36757047	36513930	36757047	2756778525	27535275	482076429	82.51305193259948
SRX6878026	12608950	12497560	12608950	945671250	1502223	309417929	67.2806031694418
SRX6878027	15152918	15098748	15152918	1136468850	3039191	256121739	77.46337358916612
SRX6878028	7509665	7477234	7509665	574436138	578184	136476626	76.24163645498221
SRX7125364	28136154	8946466	28136154	2110211550	2553875	2093028941	0.814260020517848
SRX7125365	30896629	9699622	30896629	2317247175	2871490	2299188593	0.7793118573982079
SRX7125366	25301878	8276521	25301878	1897640850	5614532	1879400864	0.9611927357065484
SRX7125367	20112332	6593469	20112332	1508424900	3191588	1494598946	0.9165821911319548
SRX7125368	32284084	10340552	32284084	2421306300	2694002	2399886410	0.8846418976401291
SRX7125369	18560793	5841299	18560793	1392059475	2982894	1379774080	0.8825337724884204
SRX7125370	21763846	6660958	21763846	1632288450	7393136	1611918004	1.24796851928959
SRX7125371	21424387	6819977	21424387	1606829025	5331975	1590038038	1.0449765805045748
SRX7125372	30965856	9749437	30965856	2322439200	5203222	2301217360	0.913773759933091
SRX7125373	26571489	8819286	26571489	1992861675	6740989	1970531799	1.1204930216744724
SRX7125374	28758944	9352302	28758944	2156920800	9066129	2128200084	1.3315609919474094
SRX7125375	20863717	6712133	20863717	1564778775	5955145	1547425389	1.1089993216453233
SRX8049163	11851272	4687250	11851272	888845400	1209662	875253991	1.5291083241247578
SRX8049164	11011030	4864160	11011030	825827250	1127085	812053288	1.6678987039965079
SRX8049165	11662129	5016831	11662129	874659675	1167316	860934581	1.5691924976420115
SRX8049166	11150639	4227780	11150639	836297925	1167941	822099668	1.6977510735782346
SRX8049167	11463440	5433569	11463440	859758000	1050755	839136336	2.398542845777533
SRX8049168	10007290	4433645	10007290	750546750	865779	737898039	1.6852662409103762
SRX8164260	12013054	5027931	12013054	480522160	1184269	472735594	1.6204384830035727
SRX8164261	8327033	3516099	8327033	333081320	866749	327597948	1.6462562355643362
SRX8164262	8399150	3512656	8399150	335966000	1005599	330341029	1.6742679318740585
SRX8164263	8318108	2762912	8318108	332724320	267758	329128418	1.080745164645614
SRX8164264	11650754	4722415	11650754	466030160	1445183	458366334	1.644491420898596
SRX8164265	9868299	3138252	9868299	394731960	392615	390491476	1.074269233228543
SRX8164266	7715430	2616038	7715430	308617200	266819	305205675	1.1054228345017711
SRX8164267	11130180	3706181	11130180	445207200	380044	440376752	1.0849887423204296
SRX8164268	10211674	4271817	10211674	408466960	1257520	401599252	1.6813374575020708
SRX8164269	11630694	4770667	11630694	465227760	1428394	457527742	1.6551071672937143
SRX8164270	8108290	3077722	8108290	324331600	1987999	318226094	1.8824887861682305
SRX8164271	9047923	3620844	9047923	361916920	1190656	355991967	1.6371030677427294
SRX8164272	7027730	2991888	7027730	281109200	691712	276490665	1.6429682842112603
SRX8164273	7622173	3213088	7622173	304886920	938732	299714880	1.6963797594203123
SRX8164274	12134532	4033707	12134532	485381280	402630	480114215	1.08513970707729
SRX8164275	9272933	3094861	9272933	370917320	304260	366884840	1.0871641151726212
SRX8164276	7920372	2610329	7920372	316814880	274611	313394876	1.0794960135710798
SRX8164277	9670192	3902266	9670192	386807680	1035639	380606013	1.6032946915635182
SRX8164278	8490395	2842749	8490395	339615800	296907	335898843	1.0944593861651901
SRX8164279	9323926	3832681	9323926	372957040	1415106	366486641	1.734891235730528
SRX8164280	9012581	3033333	9012581	360503240	304732	356537779	1.0999792956091046
SRX8164281	8810690	2946462	8810690	352427600	299873	348578690	1.0921136710064705
SRX8164282	8031217	3378191	8031217	321248680	938805	315864093	1.6761429183148706
SRX8164283	9171707	3036073	9171707	366868280	303537	362906315	1.0799420980194854
SRX8164284	9240543	3011327	9240543	369621720	314716	365673112	1.068283541346001
SRX8164285	10558286	4363701	10558286	422331440	1442183	415165515	1.6967538575863546
SRX8164286	8763651	3639289	8763651	350546040	1170130	344587484	1.6997927005536848
SRX8164287	6124418	2024741	6124418	244976720	199547	242334895	1.0783983882223585
SRX8164288	9118861	3719262	9118861	364754440	1046899	358832228	1.6236161511837937
SRX8164289	10011193	4015016	10011193	400447720	1137907	394051511	1.5972644319213505
SRX8164290	10050509	3281727	10050509	402020360	346895	397696662	1.0754922959623239
SRX8164291	9569867	3116529	9569867	382794680	330573	378686920	1.0730974631099888
SRX8164292	7401735	2437169	7401735	296069400	256840	292861910	1.0833574830766028
SRX8164293	10647315	4402782	10647315	425892600	1230245	418884065	1.6456108887545826
SRX8164294	10409080	3927535	10409080	416363200	2014854	409092428	1.7462571139812546
SRX8164295	9357511	3818369	9357511	374300440	948216	368332768	1.5943534557426648
SRX8164296	9081809	3823677	9081809	363272360	1241601	357015622	1.7223270165668536
SRX8164297	8146179	2762175	8146179	325847160	274308	322255483	1.1022581875502613
SRX8164298	9489684	3229658	9489684	379587360	336613	375361773	1.1132054028353315
SRX8164299	8982949	3574377	8982949	359317960	1734691	352827218	1.8064062258396434
SRX8164300	8315223	2736902	8315223	332608920	299023	329009394	1.0822097014114955
SRX8164301	10226749	3402176	10226749	409069960	351898	404621818	1.087379283484908
SRX8164302	6879667	2890121	6879667	275186680	780491	270605683	1.6646870408117138
SRX8164303	8906445	3730641	8906445	356257800	1059960	350295165	1.6736854603604467
SRX8164304	10744294	4427165	10744294	429771760	1397689	422558426	1.6784104195212826
SRX8164305	8668111	2921426	8668111	346724440	302136	342895853	1.1042160742980796
SRX8164306	8532672	3571496	8532672	341306880	1058024	335555660	1.6850583263952956
