Module	Section	Sample Name	Source
featureCounts	all_sections	SRX2722012	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX2722012_all.txt.summary
featureCounts	all_sections	SRX7125371	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX7125371_all.txt.summary
featureCounts	all_sections	Metab_18	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_18_all.txt.summary
featureCounts	all_sections	SRX8164284	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164284_all.txt.summary
featureCounts	all_sections	SRX5014568	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5014568_all.txt.summary
featureCounts	all_sections	SRX8164295	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164295_all.txt.summary
featureCounts	all_sections	SRX5299660	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5299660_all.txt.summary
featureCounts	all_sections	SRX5806786	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5806786_all.txt.summary
featureCounts	all_sections	SRX9960957	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9960957_all.txt.summary
featureCounts	all_sections	SRX4913544	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX4913544_all.txt.summary
featureCounts	all_sections	SRX6878009	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6878009_all.txt.summary
featureCounts	all_sections	SRX9633796	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9633796_all.txt.summary
featureCounts	all_sections	Muc_14	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_14_all.txt.summary
featureCounts	all_sections	SRX2722015	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX2722015_all.txt.summary
featureCounts	all_sections	SRX9633800	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9633800_all.txt.summary
featureCounts	all_sections	SRX8164294	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164294_all.txt.summary
