CM_6	66.0	166.5	293.5	321.0	743.5	1196.0	2309.0	3762.0	4149.0	6885.0	9726.5	12422.5	17540.0	20431.5	34432.0	48427.0	66522.0	101994.0	121933.5	176773.5	237376.0	289867.5	382165.0	435880.5	562416.0	697716.0	797670.0	943453.0	1015958.5	1144218.5	1270595.5	1337838.0	1416575.0	1441021.0	1454381.0	1471147.5	1457959.5	1401442.5	1352689.0	1287957.5	1182715.5	1047808.5	911883.5	847095.5	750514.0	617990.0	495676.0	383555.0	346182.0	301039.5	236390.0	183822.5	150779.5	137301.5	103354.0	77973.5	73062.5	71847.5	65576.0	48697.0	36061.5	29894.5	22952.0	19171.5	12766.5	7631.0	4852.0	2727.5	2106.5	1117.0	452.0	337.5	269.5	245.5	221.5	205.0	173.0	149.0	147.5	137.5	124.5	120.5	116.0	113.0	123.0	130.5	126.0	124.0	121.0	117.5	121.0	124.5	131.5	155.5	202.5	238.5	293.0	339.0	1213.5	4123.0	6158.0
CM_7	42.0	108.0	196.5	218.5	466.5	733.5	2399.0	4223.5	4426.0	7124.0	9834.0	11256.0	15550.5	18539.5	33195.5	48358.5	63292.0	91284.5	105640.0	158307.0	212280.0	272508.0	358738.5	388195.0	498768.0	617953.0	721833.5	864720.5	916656.5	1051738.5	1188511.5	1259253.5	1354040.5	1387392.5	1449461.0	1529098.5	1551312.5	1561718.5	1565733.5	1504331.5	1387394.5	1217614.0	1053815.5	990975.0	890252.5	756895.5	624435.5	498382.0	465330.0	402040.5	311049.5	226469.5	169601.0	153289.5	108339.0	72898.5	55994.0	46487.0	43034.0	31703.0	22744.5	16248.5	10796.5	8867.0	6102.5	4073.0	2654.0	1726.5	1402.5	773.0	342.5	168.5	51.0	38.5	32.0	30.5	22.0	13.0	10.5	8.0	6.5	6.0	6.0	7.0	11.5	15.5	80.0	142.0	140.5	111.0	81.5	71.0	60.0	64.0	68.5	72.5	100.5	125.0	115.5	80.0	54.0
CM_8	27.0	78.0	139.5	151.0	397.5	656.5	1597.0	2771.5	3034.5	5657.0	8347.5	11067.5	16584.5	19755.0	35336.0	51157.5	71567.5	108958.0	128534.5	187421.5	252163.0	301108.5	387145.5	438236.5	565755.0	701400.5	796710.5	944430.0	1022368.5	1147539.5	1272509.0	1337019.0	1407873.5	1425780.0	1431091.5	1439218.5	1422060.5	1361045.0	1307612.5	1235031.5	1123912.0	989727.0	854388.5	790251.5	696362.0	566894.0	443278.0	330782.5	294670.0	251961.0	189166.5	138550.5	108038.5	97499.5	70790.0	50601.5	48175.5	49190.0	45242.5	30337.5	18286.5	17083.0	14770.0	12116.5	8523.0	5467.0	3448.0	1685.0	1281.5	685.5	256.5	201.0	158.5	144.0	129.5	117.5	109.5	102.0	95.5	92.5	92.5	91.5	95.0	97.0	91.5	87.5	88.5	85.0	93.0	105.0	106.5	118.0	131.0	140.5	163.5	189.5	251.5	302.0	1006.5	3467.0	5223.0
CM_9	16.0	52.0	92.0	96.0	224.5	363.5	1313.0	2362.0	2483.0	4855.5	7243.0	8322.0	11745.5	14159.0	25209.0	36820.0	50610.0	75384.0	87455.0	135386.5	184439.0	247086.0	338097.0	369615.0	474911.0	588602.5	697637.0	842523.5	891389.0	1051319.5	1213599.5	1288596.5	1397120.5	1441431.5	1517452.5	1609332.5	1650552.5	1681793.0	1687915.0	1622809.0	1509184.0	1343525.0	1171924.0	1104893.5	995105.0	848586.5	701014.5	563103.5	528577.5	459848.0	363520.5	276938.0	217951.5	197195.5	140792.0	97339.0	76611.5	64175.5	59486.0	44066.0	32041.0	23838.0	16719.5	14115.0	10203.5	6935.5	4006.5	2246.5	1831.5	971.0	394.0	200.0	55.5	50.0	45.0	46.0	30.5	15.0	14.0	11.0	8.5	5.5	2.5	3.5	6.0	10.0	77.0	142.0	136.0	98.5	66.0	50.0	36.5	39.0	56.5	75.0	112.5	147.0	142.5	93.5	49.0
Cody_1	17.0	15.0	23.0	32.5	37.5	47.0	58.5	64.0	67.0	83.0	99.0	121.5	162.5	218.0	295.0	368.5	538.0	1106.0	1969.0	2941.0	4085.5	5916.5	10310.5	20560.0	28416.5	34946.0	47185.5	63709.0	89885.0	124012.5	152446.5	177137.5	199215.0	216527.0	228038.5	233064.5	238985.5	231061.0	216789.5	206352.0	182914.5	152071.0	122524.0	97454.0	76728.5	53971.5	35710.5	25079.5	17268.0	11239.5	7814.0	6701.5	5761.0	4505.5	3753.0	4068.0	4605.0	3933.5	2625.5	1901.5	1840.0	2271.5	2674.5	2539.0	1958.5	1499.5	1428.5	1373.5	1279.5	1157.5	1015.5	911.0	751.5	570.5	446.0	311.0	221.0	154.5	99.0	57.5	33.0	21.0	17.0	11.5	2.5	1.5	1.5	0.5	0.0	0.5	1.5	1.0	0.5	0.5	0.0	0.0	0.0	1.0	1.0	0.0	0.0
Cody_2	18.0	24.0	29.0	40.5	68.0	76.0	80.5	91.0	104.0	151.0	200.5	238.5	303.5	374.0	467.0	564.0	763.0	1461.5	2678.5	4090.0	5496.0	8213.0	14763.5	29526.0	40753.0	50017.5	67753.0	92658.0	130651.5	180394.5	223000.5	261459.5	295978.5	321495.5	340471.5	351086.0	361969.0	351378.0	331982.5	317610.5	281811.0	235669.5	191474.5	153186.5	121207.5	85307.5	56400.0	39325.5	26743.5	17066.0	11443.0	10059.5	8671.5	6598.0	5348.0	5550.5	6132.0	5113.0	3365.5	2461.0	2417.5	2906.5	3271.5	3073.5	2415.0	1822.5	1693.0	1637.0	1536.0	1382.5	1243.0	1115.0	942.0	699.5	518.0	382.5	257.0	170.5	101.0	60.5	41.0	29.0	19.0	12.0	5.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.5	1.0	1.5
Cody_3	322.0	410.5	498.5	738.0	983.5	1215.5	1454.0	1821.5	2182.5	3454.5	4743.0	5986.0	7265.5	9946.5	12716.0	19985.0	28396.5	44404.0	59664.0	87750.0	116094.5	152713.5	191872.5	263940.0	335550.0	405808.5	546837.0	658944.0	748930.5	833185.0	923542.5	1003420.0	1067233.5	1126168.0	1143461.5	1135645.0	1111755.5	1076277.5	1011912.0	930617.0	839940.5	747970.5	647227.5	557805.5	484243.5	400879.5	309431.5	229813.0	176633.0	136491.5	111678.0	89291.0	65240.0	47680.0	38279.0	27303.0	25530.5	26386.5	50868.5	76883.5	43949.0	10506.0	9069.0	5843.0	3127.0	1908.5	1180.5	866.0	628.0	418.0	314.5	229.0	198.0	160.5	131.5	110.0	100.0	96.0	93.5	86.0	83.5	87.5	87.0	85.0	81.5	67.0	59.5	66.5	70.0	72.0	73.0	73.0	76.5	115.5	166.0	227.0	289.0	408.5	1275.5	3943.5	5848.0
Cody_4	9.0	20.0	31.5	64.0	95.5	150.5	210.0	328.5	446.5	1339.5	2235.5	2867.5	3523.0	8191.0	12945.5	20478.0	28154.0	40519.5	52764.0	86611.0	120997.5	158787.5	197564.5	251865.5	306602.5	390255.0	544727.0	641198.0	720538.5	806508.5	911741.5	1008784.5	1046062.5	1073270.5	1125793.0	1181741.0	1182356.0	1151068.5	1107554.0	1069289.5	1026716.5	962573.5	823299.5	684312.5	593590.5	507821.0	409911.0	313149.5	254869.0	208561.5	161626.5	119948.5	90521.0	62190.5	46672.5	36570.0	25175.5	14562.0	11268.0	9169.5	7053.0	5335.0	3611.5	2025.5	1398.5	961.0	727.0	497.5	377.0	270.5	183.5	111.5	72.5	45.0	33.0	12.0	3.0	3.0	3.0	2.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	1.0	0.5	0.0	0.0	0.0	0.5	1.0	13.5	26.0	16.5	7.0	4.0	1.0
ERX4294041	527.0	384.5	184.5	126.0	110.5	93.0	85.5	80.5	71.5	66.0	64.5	67.5	223.5	373.5	1076.5	3121.5	6815.0	9175.5	12656.0	23810.5	31540.0	53969.5	94986.5	113682.0	153909.0	229573.0	307387.5	349846.0	384041.5	454897.0	491870.0	513242.0	566633.5	598938.5	583481.5	587304.5	618890.0	631030.0	549384.5	436690.5	405390.0	358748.0	285853.5	259240.0	241784.5	170207.5	97919.0	79849.0	65985.0	41842.5	31481.5	27720.0	19425.0	14860.5	13170.5	10358.0	8266.5	7296.5	6063.0	4525.0	4208.0	3665.5	2191.0	1256.0	860.5	376.0	179.5	72.5	44.0	14.0	11.5	9.0	6.0	5.5	6.0	5.5	2.5	0.0	1.0	1.5	0.5	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERX4294042	3394.0	2393.0	1387.5	1411.0	1525.0	1703.0	1887.0	2034.5	2199.0	2406.0	2627.0	3010.5	4606.0	6015.5	9763.0	13406.0	14756.5	16257.5	20525.0	38019.5	51633.5	93181.5	173024.0	211766.0	241943.5	307358.0	391065.5	439635.5	473123.0	549301.5	592544.5	637640.0	703749.5	725082.5	745142.0	746124.0	689300.5	651272.5	605849.5	510802.5	460547.0	424674.0	326926.5	264236.5	244691.0	191775.5	128176.0	98207.5	79049.5	50082.0	40026.0	34408.5	30594.0	32292.5	28514.0	27655.5	18050.5	5455.0	4416.5	3119.0	2753.5	2456.5	1660.5	1134.5	803.0	368.5	176.5	94.0	83.5	67.5	61.5	66.0	67.0	62.0	59.5	67.5	70.0	61.0	60.0	54.5	39.0	27.0	24.0	21.0	13.5	8.0	5.5	4.0	5.5	5.5	4.0	3.0	2.0	1.5	1.0	0.5	0.0	0.0	0.0	1.0	2.0
