Sample	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_FragmentLength	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity
SRX2722009	2849246.0	13845.0	218150.0	33414.0	427424.0	132994.0	24367.0
SRX2722010	3045134.0	2196.0	145372.0	39827.0	437737.0	134295.0	38975.0
SRX2722011	2999352.0	714.0	150094.0	39444.0	540840.0	134727.0	36083.0
SRX2722012	3348415.0	1734.0	171981.0	45980.0	541072.0	149149.0	41761.0
SRX2722013	3747839.0	1336.0	183046.0	43154.0	320107.0	181991.0	42346.0
SRX2722014	3139983.0	685.0	146334.0	38451.0	251771.0	117556.0	37174.0
SRX2722015	2843453.0	1141.0	146825.0	32119.0	238772.0	123563.0	31816.0
SRX2722016	2987836.0	968.0	179003.0	33434.0	265132.0	138038.0	32296.0
SRX2722017	3179072.0	911.0	215979.0	36304.0	268326.0	131869.0	36690.0
SRX2722018	3691113.0	1434.0	213250.0	44302.0	344586.0	149210.0	40154.0
SRX3489448	3136969.0	1155012.0	140919.0	2169.0	497603.0	135343.0	6233.0
SRX3489449	5447589.0	3495797.0	499264.0	7897.0	902392.0	265966.0	10213.0
SRX3489450	2246496.0	1129378.0	110577.0	3587.0	457581.0	100916.0	3509.0
SRX3489451	2040183.0	450797.0	336702.0	2713.0	321605.0	90967.0	3383.0
SRX3489452	2396392.0	1126641.0	357538.0	3315.0	400021.0	100166.0	4084.0
SRX3489453	2107293.0	1900903.0	292931.0	9175.0	324679.0	94994.0	3005.0
SRX4065827	5245107.0	310.0	251229.0	142778.0	366318.0	254387.0	86601.0
SRX4065829	4319077.0	510.0	394352.0	136958.0	342315.0	206760.0	75230.0
SRX4065834	4073012.0	734.0	273543.0	144426.0	306098.0	193575.0	71771.0
SRX4065836	4957585.0	442.0	250386.0	128162.0	398072.0	240813.0	77078.0
SRX4065848	4832650.0	748.0	236383.0	115397.0	341756.0	232495.0	81582.0
SRX4913542	1279995.0	1658782.0	1555102.0	0.0	132558.0	33923.0	810.0
SRX4913543	1808912.0	1863.0	1889189.0	0.0	328914.0	30675.0	1024.0
SRX4913544	5.0	4.0	21474.0	0.0	0.0	0.0	0.0
SRX5014557	2666465.0	279.0	214480.0	57777.0	229279.0	130777.0	31565.0
SRX5014562	4906870.0	43194.0	1491796.0	47904.0	453945.0	159265.0	62644.0
SRX5014564	5785137.0	2000.0	296044.0	52356.0	497068.0	168581.0	70126.0
SRX5014568	6448584.0	3738.0	359959.0	66008.0	590892.0	202181.0	80563.0
SRX5014569	2098898.0	311.0	279964.0	55548.0	181290.0	101260.0	28130.0
SRX5014570	4225726.0	83634.0	2575543.0	40397.0	377777.0	142489.0	52551.0
SRX5014574	2852785.0	212.0	219702.0	65495.0	214235.0	139162.0	35986.0
SRX5014577	2375016.0	400.0	224890.0	69990.0	190084.0	113090.0	31679.0
SRX5014579	2916800.0	540.0	224236.0	58663.0	218546.0	141837.0	37717.0
SRX5014581	6357293.0	13942.0	650247.0	75766.0	545179.0	226309.0	92568.0
SRX5014583	6965753.0	1895.0	417239.0	75832.0	531495.0	230539.0	90884.0
SRX5014587	5885448.0	1322.0	287046.0	54254.0	683221.0	261926.0	86365.0
SRX5014588	5773445.0	2226.0	281146.0	57177.0	617809.0	231115.0	79170.0
SRX502154	394995.0	263399.0	3708856.0	0.0	16699.0	15474.0	501.0
SRX502155	649339.0	671281.0	2347305.0	0.0	35805.0	23951.0	875.0
SRX502158	1011377.0	474157.0	1006898.0	0.0	77897.0	56667.0	1461.0
SRX5233212	262308.0	1649373.0	446877.0	0.0	136779.0	7922.0	557.0
SRX5233213	396221.0	2408433.0	530900.0	0.0	94464.0	9762.0	791.0
SRX5233214	254953.0	1646182.0	62725.0	0.0	45846.0	9206.0	313.0
SRX5233215	425116.0	2062211.0	87402.0	0.0	53377.0	15190.0	720.0
SRX5233216	281116.0	1341728.0	39711.0	0.0	37810.0	10603.0	428.0
SRX5233217	4453.0	16007.0	284688.0	0.0	3158764.0	172.0	7.0
SRX5299657	17027637.0	209868.0	815877.0	9335.0	4406297.0	1105919.0	16870.0
SRX5299658	17806678.0	97665.0	636082.0	9538.0	4731384.0	1168179.0	17559.0
SRX5299659	17948369.0	152391.0	519021.0	10096.0	4217271.0	1082051.0	18676.0
SRX5299660	18477817.0	57840.0	652997.0	8731.0	3824031.0	576020.0	19610.0
SRX5299661	17326083.0	24896.0	631770.0	9529.0	4220357.0	550346.0	17526.0
SRX5299662	17440763.0	115607.0	588085.0	9281.0	4007362.0	579032.0	18914.0
SRX5299663	17258796.0	918943.0	479399.0	9133.0	2783461.0	807392.0	17273.0
SRX5299664	17911982.0	1365953.0	501955.0	8355.0	2784854.0	810662.0	17304.0
SRX5299665	18725114.0	185442.0	509220.0	11820.0	3365719.0	876875.0	18361.0
SRX5505131	5720663.0	846.0	332544.0	309846.0	876856.0	321800.0	114011.0
SRX5505132	5535246.0	1447.0	360396.0	293151.0	962775.0	287819.0	105323.0
SRX5505133	4026096.0	230.0	182290.0	179115.0	558549.0	259244.0	85879.0
SRX5505134	3799197.0	204.0	212073.0	133779.0	550853.0	262907.0	79122.0
SRX5505135	3676658.0	5502.0	211657.0	183846.0	514584.0	264554.0	81906.0
SRX5505136	3358788.0	237.0	188839.0	97420.0	772747.0	396345.0	72622.0
SRX5505137	3106121.0	193.0	166534.0	114933.0	409929.0	205495.0	64784.0
SRX5505138	4543612.0	324.0	287836.0	332845.0	581639.0	325675.0	108318.0
SRX5505139	3251993.0	187.0	183475.0	159931.0	473876.0	234176.0	71197.0
SRX5505140	4625446.0	343.0	273593.0	185471.0	990141.0	488082.0	98108.0
SRX5505141	4901799.0	476721.0	313441.0	271531.0	906568.0	251283.0	92642.0
SRX5505142	3181443.0	1275233.0	248394.0	241761.0	513979.0	175300.0	66391.0
SRX5505143	5504808.0	1220.0	364441.0	421004.0	941517.0	311577.0	115242.0
SRX5505144	5556914.0	1244.0	392625.0	397194.0	886802.0	307636.0	108206.0
