Sample	Sense	Antisense	Undetermined
SRX9960954	26.400000000000002	15.65	57.95
SRX9960955	33.489999999999995	18.82	47.69
SRX9960956	31.580000000000002	16.33	52.09
SRX9960957	36.58	15.14	48.28
SRX9960958	32.940000000000005	15.65	51.41
SRX9960959	23.57	17.5	58.940000000000005
SRX9960960	24.19	15.82	59.99
SRX9960961	25.45	19.12	55.43
SRX9960962	23.39	16.009999999999998	60.589999999999996
SRX9960963	19.91	19.189999999999998	60.9
SRX9960964	29.92	19.85	50.23
SRX9960965	30.599999999999998	17.37	52.04
SRX9960966	30.630000000000003	16.11	53.26
