Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Muc_1	0.31234166317548817	0.720206356065109
Muc_10	0.18575293720994937	0.10251901473267214
Muc_11	0.2419018462185331	0.24411835626301787
Muc_12	0.17393902455275578	0.0
Muc_13	1.106859787403502	5.725381160346137
Muc_14	1.2249352259551478	6.960356162392662
Muc_15	1.0159015273789107	5.125706352499728
Muc_16	0.9292036475249227	2.7891525159694828
Muc_17	1.0930875283155652	3.0711815383292516
Muc_18	1.0996346805777	3.690079294438166
Muc_19	0.9343493149377546	2.296266038549783
Muc_2	0.35730355013768317	0.867747150929383
Muc_20	1.1450639116080075	3.5278570419024113
Muc_21	0.926961593526366	2.4078930281351054
Muc_22	1.0578273642661764	3.069013449167666
Muc_23	0.9888952018388665	3.300509107111457
Muc_24	1.0376277228880064	3.9809280141302827
Muc_3	0.32076234847609375	0.711356462080249
Muc_4	0.30328753393550956	0.5834482799575206
Muc_5	0.2622565002245785	0.267797374387517
Muc_6	0.2804115847406885	0.44264361310925004
Muc_7	0.31970035624416204	0.44849216239665557
Muc_8	0.355015720681913	0.4442325684587808
Muc_9	0.2295382701026117	0.12336585983259454
SG_1	0.2505377044464831	0.10313219139728791
SG_2	0.1655142325042699	0.0
SG_3	0.19430807009361245	0.0
SG_4	0.5052652479335545	9.201025556740497
SG_5	0.24724915626934946	0.11871988781969928
SG_6	0.16741284235735587	0.0
SG_7	0.806747531559302	1.052050006081833
SG_8	0.8268795822408914	1.1975336813624358
SRX1357231	13.131772055638535	8.7691637208117
SRX1357232	12.500174070175603	7.732372649873316
SRX1357235	30.40099130225318	8.756940565227904
SRX1357236	14.939598375166957	9.110557083364837
SRX1357239	15.217130220802852	5.328606576717105
SRX1357240	13.594580319181535	5.787310969936559
SRX1357243	8.56553206586102	3.2160100773708358
SRX1357244	6.757071133451382	4.36830693683783
SRX1549383	1.775140334641547	4.395508390806927
SRX1549384	0.5535823802955573	3.4006236356501525
SRX1983453	19.777778972455195	26.025057347962225
SRX2629499	0.5523670108145406	3.1663732488978025
SRX2629500	0.19832419244216526	0.8411401341379878
SRX2722002	0.5035012573524537	2.497274102212374
SRX2722003	0.6646873791217798	5.445025114456067
SRX2722004	1.9914359685536853	9.099182057427061
SRX2722005	1.3883682685932381	4.951000727643425
SRX2722006	0.3755565302130504	1.809995378995254
SRX2722007	1.17633422681911	3.5568093967979877
SRX2722008	0.8610799326970613	3.5675043564739974
SRX2722009	1.0153428627035443	3.7975477369547814
SRX2722010	0.8946969665433081	1.765613747340991
SRX2722011	0.2431269535385289	0.10768332438749181
SRX2722012	0.815168605694948	2.1245824507940756
SRX2722013	0.21795120556818756	0.10400858972450003
SRX2722014	0.977718374878147	1.104140083184305
SRX2722015	0.21719354803787003	0.10346172515989607
SRX2722016	0.23471783676826313	0.10930217914173457
SRX2722017	0.7920859123874978	1.159479172562663
SRX2722018	0.856792599724044	1.546169544534416
SRX3489448	0.7243437845371373	7.058799648736127
SRX3489449	0.32057222433695814	2.174187924153255
SRX3489450	0.3616446415685516	2.055974713009039
SRX3489451	0.6975218322115607	5.1715927118148075
SRX3489452	0.7958922162538853	8.473853601865201
SRX3489453	0.8038276096666371	16.995994067162773
SRX4065827	0.16274522470626607	0.0
SRX4065829	0.6309721540867351	0.4186694847057698
SRX4065834	0.18423280801570718	0.10981286584126632
SRX4065836	0.7031430451159497	0.552611152544602
SRX4065848	0.8436895599066667	0.7418578735770229
SRX4913542	2.6997728038239326	20.451174275986492
SRX4913543	0.886080968295885	8.595650322601937
SRX4913544	0.3770423125261835	2.1458827910440816
SRX5014557	0.15870909397704092	0.0
SRX5014562	0.20627669518525826	0.2537952762762402
SRX5014564	0.32589118351779106	1.3673953387649984
SRX5014568	0.15937976696110967	0.0
SRX5014569	0.1646753971459907	0.20244765700893966
SRX5014570	0.29372707841181994	2.5525875363107837
SRX5014574	0.6868737379793552	0.6960301646144083
SRX5014577	0.1686771604336424	0.0
SRX5014579	0.19736884156829027	0.20670648318571433
SRX5014581	0.1392485452131962	0.0
SRX5014583	0.27613666557729183	1.024292977910871
SRX5014587	0.3008988671799561	1.1101465621574356
SRX5014588	0.11103240970575773	0.0
SRX502154	0.32268739187313233	0.2040262513625235
SRX502155	1.187349740757548	1.0168816024219565
SRX502158	0.8265305462482362	1.22634686433904
SRX5233212	0.43433702796052104	7.492603290337627
SRX5233213	0.8158529499899871	15.876608853588552
SRX5233214	3.475689930542659	32.217113001275266
SRX5233215	2.737880557455023	29.834010081633387
SRX5233216	4.107290188828302	32.864865875577614
SRX5233217	1.1837737519020142	22.8603694302488
SRX5299657	0.6412015224101354	2.504128234709319
SRX5299658	0.6255914834153722	3.0022252344322995
SRX5299659	1.1325806569476415	4.802584780486786
SRX5299660	1.016575061927728	2.936832150811748
SRX5299661	1.1871860446301743	3.667240593021043
SRX5299662	1.2943689550404667	3.566340484248811
SRX5299663	0.44918387689686956	1.4557835168332502
SRX5299664	0.4465865121950646	1.4224822673668913
SRX5299665	1.3338749381609436	4.067020896145796
SRX5505131	0.6340725788067216	2.821561099064347
SRX5505132	0.6814992054896287	2.641689008060659
SRX5505133	1.2559617931198965	3.501491003425746
SRX5505134	0.5953790440311743	2.561622505153197
SRX5505135	0.6294360042010996	2.496989596669736
SRX5505136	1.0601395785306233	8.55160980217303
SRX5505137	1.201060278186593	3.353720966305464
SRX5505138	1.0753773836620497	2.6175482573598567
SRX5505139	1.3929896784678735	3.6479090068539723
SRX5505140	2.0084867795274834	7.104802989978959
SRX5505141	0.6396326025074907	2.795403649993727
SRX5505142	1.0089608050923622	7.7429359503838775
SRX5505143	0.6578884669317472	2.2027703301740287
SRX5505144	0.6883362801529445	3.017781170966383
SRX5797722	0.2862653395702778	0.4275218993607177
SRX5797723	0.5929502455529897	2.340254880852981
SRX5797724	0.6000139482690363	2.62831047526618
SRX5797725	0.1601399374481611	0.2614610852212098
SRX5797726	0.17732599927628787	0.25377658591089236
SRX5797727	0.20458900064175617	0.31037073487845596
SRX5806783	0.35618759277687395	0.4930381063084186
SRX5806784	0.5796594220255193	2.44500201652888
SRX5806785	0.47510647423816077	1.871794902570057
SRX5806786	0.3582223129774791	0.2506539952509381
SRX5806787	0.48837593558261466	1.5551569562405099
SRX5806788	0.544153279971849	1.7922323269090392
SRX6877996	1.4994697092549827	17.301266714131224
SRX6877997	1.4082993943876256	20.31669475772053
SRX6877998	1.46858538583724	11.992703353442911
SRX6877999	1.992032932365978	20.609342688582863
SRX6878000	1.5949899830961303	17.254092118485342
SRX6878001	3.5920502696812786	47.77511922419811
SRX6878002	7.194555490258353	52.29381477885768
SRX6878003	8.055605203818821	33.87168915814724
