Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERX4294045	79.79979118261546	5888184			0.15199633394882262	82.7311896124981	35.0	69.95505845477304	27.27272727272727	7378696.0
ERX4294046	79.27725348160996	6216288			0.016217882195406336	82.2374168640537	34.0	69.90042672039993	27.27272727272727	7841200.0
ERX4294047	77.76100335397447	5884749			0.22500534902506358	84.91632079948201	34.0	69.987271493807	27.27272727272727	7567738.0
ERX4294048	74.80043895301577	5337131			0.5510291794633024	84.38600545713444	35.0	69.97990542608716	36.36363636363637	7135160.0
ERX4294049	77.12552904730032	6102431			0.013574356271219511	85.26130222328479	35.0	69.9876706449271	27.27272727272727	7912336.0
ERX4294050	77.50661146589373	5493719			0.279423986422045	84.79066490714078	35.0	69.98611468715369	27.27272727272727	7088065.0
ERX4294051	79.82534553468699	6475080			0.01331486215054115	83.22069172599949	34.0	69.93481080517321	27.27272727272727	8111559.0
ERX4294052	77.66548220272549	5802740			0.27085706222361683	81.8227931239196	34.0	69.90788565490541	27.27272727272727	7471453.0
ERX5228512	80.98500806882461	10886894			0.9153906019244046	88.30661151680351	35.0	49.54654834770973	18.181818181818183	13443098.0
ERX5228513	80.21605089191094	9268712			0.9156290450454005	87.82460643845178	34.0	49.543610146014366	20.0	11554685.0
ERX5228514	81.82595512564014	12007900			0.9108824546133676	88.42078786947013	35.0	49.54540294848465	18.181818181818183	14674928.0
ERX5228515	79.2311061939308	9555437			0.9131666771822703	88.1593036604563	34.0	49.54836918663681	20.0	12060209.0
ERX5228516	81.16035814924548	7550116			0.9163191353669929	87.01026891926749	35.0	49.54327565052521	20.0	9302714.0
ERX5228517	82.35199921924153	11087734			0.9053016900369902	88.77565140853335	35.0	49.548236382349124	18.181818181818183	13463831.0
