Sample	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX8420202	0.1092	0.0834	0.8074		
SRX8420203	0.0959	0.0545	0.8496		
SRX8420204	0.0889	0.0404	0.8706		
SRX8420205	0.0845	0.0402	0.8753		
SRX8420206	0.1008	0.0541	0.8451		
SRX8420207	0.1029	0.0447	0.8523		
SRX8420208	0.0917	0.0318	0.8765		
SRX8420209	0.0923	0.0486	0.8591		
SRX9633794	0.2403	0.2936	0.4661		
SRX9633795	0.2324	0.3265	0.4411		
SRX9633796	0.2027	0.302	0.4953		
SRX9633797	0.1489	0.3881	0.463		
SRX9633798	0.1757	0.3766	0.4477		
SRX9633799	0.146	0.3763	0.4777		
SRX9633800	0.1376	0.4085	0.4539		
SRX9633801	0.1477	0.3872	0.4651		
SRX9633802	0.1417	0.4025	0.4557		
SRX9682649	0.1778	0.2556	0.5665		
SRX9682654	0.2664	0.2009	0.5327		
SRX9682659	0.2857	0.2436	0.4706		
SRX9682664	0.277	0.1686	0.5545		
SRX9682669	0.298	0.2401	0.4619		
SRX9682674	0.2547	0.2744	0.4709		
SRX9699053	0.6059	0.3413	0.0528		
SRX9699054	0.6227	0.3117	0.0656		
SRX9699055	0.6887	0.254	0.0573		
SRX9699056	0.7352	0.2062	0.0586		
SRX973265			0.1923	0.6845	0.1233
SRX973266			0.3354	0.6345	0.03
SRX973267			0.1846	0.6545	0.1609
SRX973268			0.5	0.5	0.0
SRX9960951			0.5027	0.3366	0.1606
SRX9960952			0.5729	0.2676	0.1594
SRX9960953			0.4529	0.3819	0.1652
SRX9960954			0.5795	0.264	0.1565
SRX9960955			0.4769	0.3349	0.1882
SRX9960956			0.5209	0.3158	0.1633
SRX9960957			0.4828	0.3658	0.1514
SRX9960958			0.5141	0.3294	0.1565
SRX9960959			0.5894	0.2357	0.175
SRX9960960			0.5999	0.2419	0.1582
SRX9960961			0.5543	0.2545	0.1912
SRX9960962			0.6059	0.2339	0.1601
SRX9960963			0.609	0.1991	0.1919
SRX9960964			0.5023	0.2992	0.1985
SRX9960965			0.5204	0.306	0.1737
SRX9960966			0.5326	0.3063	0.1611
