Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX8387575	8017526	6637412	1933	121583	0	0	0	0	81877	0	0	0	0	584055	267990	322676	82.78628594406803
SRX8387576	9069967	7492703	401	165521	0	0	0	0	84399	0	0	0	0	829157	242842	254944	82.61003595713193
SRX8387577	7705606	6386355	1190	127894	0	0	0	0	75653	0	0	0	0	536873	259348	318293	82.87933486347472
SRX8387582	6844540	4579782	91	1409152	0	0	0	0	222251	0	0	0	0	398203	160573	74488	66.9114651970768
SRX8387589	6351552	4101857	368	1510769	0	0	0	0	202872	0	0	0	0	296298	162384	77004	64.58038917102465
SRX8387590	5478072	3726980	1102	1073571	0	0	0	0	181875	0	0	0	0	279133	147002	68409	68.03452017425109
SRX8387591	6159833	3810553	1217	1193727	0	0	0	0	189251	0	0	0	0	490589	404002	70494	61.86130370742193
SRX8387592	6875668	4256308	384	1302973	0	0	0	0	210784	0	0	0	0	575869	448274	81076	61.903919735507884
SRX8387593	11125283	9398759	9331	194526	0	0	0	0	66946	0	0	0	0	629315	449603	376803	84.48107791954595
SRX8387594	7847307	6692850	421	129536	0	0	0	0	38981	0	0	0	0	414083	304289	267147	85.28849451155665
SRX8420202	7550768	6482698	10017	108558	0	0	0	0	65717	0	0	0	0	477497	189400	216881	85.85481635775328
SRX8420203	8657676	7423622	25448	144464	0	0	0	0	99317	0	0	0	0	405689	280889	278247	85.74612863775451
SRX8420204	9440271	45044	21	159331	0	0	0	0	110452	0	0	0	0	9107380	17243	800	0.4771473191818328
SRX8420205	9226276	43555	1	149010	0	0	0	0	131335	0	0	0	0	8885670	15778	927	0.4720756240112479
SRX8420206	8574599	7369100	1439	156668	0	0	0	0	87373	0	0	0	0	428490	264901	266628	85.94104517307457
SRX8420207	8982758	37781	390	162736	0	0	0	0	92264	0	0	0	0	8675676	13070	841	0.42059465478197233
SRX8420208	9493978	43477	1	153213	0	0	0	0	92771	0	0	0	0	9187797	15966	753	0.457942919185193
SRX8420209	8302084	7198530	2587	112379	0	0	0	0	77882	0	0	0	0	403754	253610	253342	86.70750621169336
SRX9633794	30021532	9788571	9629084	2297824	0	0	0	0	127733	0	0	0	0	7597996	573232	7092	32.605168183955435
SRX9633795	25372830	8910582	7845573	1915487	0	0	0	0	43960	0	0	0	0	6076781	573405	7042	35.11859733423508
SRX9633796	27086552	8611526	9306674	2945500	0	0	0	0	26872	0	0	0	0	5598268	590916	6796	31.79262535888658
SRX9633797	26076182	9585332	7810247	2415977	0	0	0	0	24556	0	0	0	0	5281206	952098	6766	36.75895497277937
SRX9633798	35827655	14291405	10919928	906021	0	0	0	0	30900	0	0	0	0	8479996	1188863	10542	39.889311762101094
SRX9633799	22782002	7919040	7351311	2378498	0	0	0	0	13608	0	0	0	0	4395393	718594	5558	34.76007069089012
