Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRX7125375	SRX7125375_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20851647.0	0.0	20-75	50.0	34.1899233280418	73.48663307027977	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX8049163	SRX8049163_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11820140.0	0.0	20-75	39.0	18.318424688030124	73.33906840358912	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX8049164	SRX8049164_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10978660.0	0.0	20-75	39.0	18.375216610391096	73.25691805739498	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX8049165	SRX8049165_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11639396.0	0.0	20-75	38.0	18.480869445605265	73.27872219486304	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX8049166	SRX8049166_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11123014.0	0.0	20-75	39.0	18.31200324845767	73.16929763821209	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX8049167	SRX8049167_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11433797.0	0.0	20-75	39.0	18.664240093138446	72.66384788885092	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX8049168	SRX8049168_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9989235.0	0.0	20-75	37.0	20.198714691653848	73.1625777149101	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX8164260	SRX8164260_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11998424.0	0.0	20-40	36.0	13.412536634631708	39.57385578305951	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164261	SRX8164261_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8315963.0	0.0	20-40	35.0	16.868840282320964	39.38415166108844	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164262	SRX8164262_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8386598.0	0.0	20-40	35.0	17.3066628296189	39.378127102312526	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164263	SRX8164263_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8307748.0	0.0	20-40	36.0	16.98756207538044	39.39444492057294	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164264	SRX8164264_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11629115.0	0.0	20-40	38.0	14.165600726363966	39.401522385839336	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164265	SRX8164265_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9853405.0	0.0	20-40	39.0	13.996528209567439	39.57054307622593	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX8164266	SRX8164266_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7694035.0	0.0	20-40	36.0	16.941449777262292	39.55801994662099	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX8164267	SRX8164267_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11116972.0	0.0	20-40	35.0	13.732685077932052	39.566168467456784	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164268	SRX8164268_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10192871.0	0.0	20-40	36.0	10.92523923204212	39.56172838840009	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164269	SRX8164269_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11610217.0	0.0	20-40	36.0	14.718578004231949	39.562775872320046	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX8164270	SRX8164270_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8084559.0	0.0	20-40	36.0	17.421938720167223	39.340122695622604	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164271	SRX8164271_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9029353.0	0.0	20-40	37.0	16.591773051346852	39.411141418438284	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164272	SRX8164272_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7018601.0	0.0	20-40	35.0	17.400716086994734	39.57411113696305	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164273	SRX8164273_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7610331.0	0.0	20-40	35.0	16.687330229006495	39.574641102995386	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164274	SRX8164274_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12118150.0	0.0	20-40	36.0	14.241334471348729	39.566145244942504	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164275	SRX8164275_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9259985.0	0.0	20-40	35.0	15.962288829230879	39.56535761127043	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164276	SRX8164276_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7909051.0	0.0	20-40	35.0	17.090961247419255	39.568459477628856	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164277	SRX8164277_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9657506.0	0.0	20-40	39.0	14.942020205773424	39.40040948460192	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX8164278	SRX8164278_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8478787.0	0.0	20-40	35.0	16.55964398735818	39.562475033280116	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX8164279	SRX8164279_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9302670.0	0.0	20-40	35.0	16.456237962556443	39.3800161674014	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164280	SRX8164280_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8996905.0	0.0	20-40	36.0	17.073215461598508	39.39245751733513	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164281	SRX8164281_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8795415.0	0.0	20-40	35.0	17.14444392637642	39.383904341068614	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164282	SRX8164282_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8018303.0	0.0	20-40	35.0	18.07946823657532	39.38106280094429	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164283	SRX8164283_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9156907.0	0.0	20-40	35.0	16.1637643379213	39.5682735447679	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164284	SRX8164284_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9225166.0	0.0	20-40	34.0	17.52645462940987	39.38268774784107	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164285	SRX8164285_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10536799.0	0.0	20-40	35.0	15.701611487369998	39.57246104817981	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164286	SRX8164286_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8748185.0	0.0	20-40	35.0	17.320537989987375	39.376890749338294	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164287	SRX8164287_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6115560.0	0.0	20-40	35.0	19.563865437719766	39.38838078606047	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164288	SRX8164288_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9104110.0	0.0	20-40	36.0	16.07320808897142	39.40251479826144	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164289	SRX8164289_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9995766.0	0.0	20-40	37.0	14.964178058231017	39.410317828568616	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164290	SRX8164290_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10026695.0	0.0	20-40	36.0	15.306089437216212	39.57010310974853	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164291	SRX8164291_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9557637.0	0.0	20-40	36.0	15.494798095618076	39.571016873731445	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164292	SRX8164292_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7390568.0	0.0	20-40	37.0	16.700166292628257	39.566964677139836	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164293	SRX8164293_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10629868.0	0.0	20-40	36.0	14.756816318551868	39.56819303870942	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164294	SRX8164294_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10394584.0	0.0	20-40	36.0	16.538903759823796	39.34570407050441	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164295	SRX8164295_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9345512.0	0.0	20-40	37.0	14.928916566080222	39.571566758461174	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164296	SRX8164296_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9062886.0	0.0	20-40	33.0	17.47854524591159	39.376977488186434	pass	pass		pass	fail	pass	pass	warn	fail	pass	pass
SRX8164297	SRX8164297_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8128424.0	0.0	20-40	34.0	18.540119216232164	39.55939355525745	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164298	SRX8164298_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9470067.0	0.0	20-40	34.0	16.18689419370431	39.554992060774225	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164299	SRX8164299_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8961973.0	0.0	20-40	34.0	16.305324955116795	39.55626233196641	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX8164300	SRX8164300_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8299146.0	0.0	20-40	36.0	19.350461720641512	39.364910678761404	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164301	SRX8164301_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10210198.0	0.0	20-40	35.0	16.059788076417412	39.565326059298755	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164302	SRX8164302_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6868780.0	0.0	20-40	35.0	18.47550593098859	39.38528865388031	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164303	SRX8164303_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8890812.0	0.0	20-40	35.0	15.983707371008224	39.57031719937392	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164304	SRX8164304_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10724127.0	0.0	20-40	35.0	15.07301914326521	39.55706026234117	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX8164305	SRX8164305_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8652693.0	0.0	20-40	36.0	17.16007714567179	39.39416329690653	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164306	SRX8164306_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8517516.0	0.0	20-40	35.0	17.46158034191348	39.383084223146746	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8164307	SRX8164307_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6389600.0	0.0	20-40	35.0	19.92035275363195	39.38048891949418	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387559	SRX8387559_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5622932.0	0.0	20-100	34.0	40.15013391928911	98.72525472475925	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387560	SRX8387560_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6051063.0	0.0	20-100	34.0	20.28931265394933	99.17402677843546	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387561	SRX8387561_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9417939.0	0.0	20-40	35.0	17.45718946859655	39.545952463697205	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387562	SRX8387562_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9408236.0	0.0	20-40	35.0	16.557362045031436	39.55256670857321	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387563	SRX8387563_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8969615.0	0.0	20-40	35.0	17.89896034326582	39.55383135173583	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387564	SRX8387564_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9460053.0	0.0	20-40	35.0	17.671186883695377	39.36198972669604	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387565	SRX8387565_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9343205.0	0.0	20-40	35.0	17.50372828756572	39.5597913135803	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387566	SRX8387566_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9934405.0	0.0	20-40	35.0	16.689276619649636	39.56233070828097	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387567	SRX8387567_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11248240.0	0.0	20-40	34.0	16.401367438197457	39.35621021599824	pass	pass		pass	fail	pass	pass	warn	fail	pass	pass
SRX8387568	SRX8387568_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10798715.0	0.0	20-40	34.0	16.792731745509208	39.35620691906398	pass	pass		pass	fail	pass	pass	warn	fail	pass	pass
SRX8387571	SRX8387571_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5306765.0	0.0	20-100	34.0	38.896016443786735	98.69164472140749	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387574	SRX8387574_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10323041.0	0.0	20-40	35.0	14.267871761174849	39.578203942036076	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387575	SRX8387575_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8017526.0	0.0	20-40	36.0	18.37259314021049	39.397981372308614	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387576	SRX8387576_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9069967.0	0.0	20-40	35.0	15.08329846234677	39.578045984070286	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387577	SRX8387577_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7705606.0	0.0	20-40	36.0	19.766272735323952	39.373493531852006	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387582	SRX8387582_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6844540.0	0.0	20-100	34.0	19.83641429045684	99.168397291856	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387589	SRX8387589_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6351552.0	0.0	20-100	35.0	41.51910008861339	98.71982154912689	pass	pass		pass	fail	warn	pass	warn	fail	pass	pass
SRX8387590	SRX8387590_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5478072.0	0.0	20-100	34.0	23.020542253469717	99.15406296229769	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387591	SRX8387591_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6159833.0	0.0	20-100	33.0	39.514678296492924	98.68952064122517	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387592	SRX8387592_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6875668.0	0.0	20-100	33.0	37.25910220212318	98.70649339089671	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387593	SRX8387593_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11125283.0	0.0	20-40	34.0	17.06491004680971	39.353522602526155	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8387594	SRX8387594_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7847307.0	0.0	20-40	35.0	19.206514872362057	39.36210651628642	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8420202	SRX8420202_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7550768.0	0.0	21-40	36.0	15.579771780455193	39.578710139154055	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX8420203	SRX8420203_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8657676.0	0.0	20-40	36.0	15.077502390786062	39.582438635957274	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8420204	SRX8420204_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9440271.0	0.0	20-40	35.0	15.328029447057917	39.39074153697494	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8420205	SRX8420205_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9226276.0	0.0	20-40	36.0	13.82252248307344	39.58615523749777	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX8420206	SRX8420206_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8574599.0	0.0	20-40	35.0	16.18876233726445	39.39020133769521	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8420207	SRX8420207_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8982758.0	0.0	20-40	36.0	14.147763723098914	39.583491618053166	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8420208	SRX8420208_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9493978.0	0.0	20-40	35.0	15.075760166504033	39.39032363462397	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX8420209	SRX8420209_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8302084.0	0.0	20-40	36.0	14.684134647053682	39.58377571221877	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9633794	SRX9633794_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30021532.0	0.0	20-151	39.0	6.581998606115621	121.76355713625807	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX9633795	SRX9633795_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25372830.0	0.0	20-151	39.0	5.509516702416986	126.64381576670793	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX9633796	SRX9633796_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27086552.0	0.0	20-141	40.0	10.118490464469241	127.20883484911627	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX9633797	SRX9633797_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26076182.0	0.0	20-151	39.0	5.0282390620558814	134.97756293463513	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX9633798	SRX9633798_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35827655.0	0.0	20-141	39.0	8.064197666609493	121.41786070006536	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX9633799	SRX9633799_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22782002.0	0.0	20-141	40.0	11.944485794289438	128.0567939551581	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX9633800	SRX9633800_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22104826.0	0.0	20-151	41.0	4.776849590116498	131.12028798598098	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX9633801	SRX9633801_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33377970.0	0.0	20-141	40.0	9.018338560147585	125.51876743852307	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX9633802	SRX9633802_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43042513.0	0.0	20-141	40.0	8.557695594970784	126.25211072132336	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX9682649	SRX9682649_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4203639.0	0.0	20-76	53.0	30.060818579684874	68.70467896981638	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX9682654	SRX9682654_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11284561.0	0.0	20-76	39.0	13.004624215340103	74.47530391301886	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX9682659	SRX9682659_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10961324.0	0.0	20-76	35.0	19.793585858105875	75.03588690563294	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9682664	SRX9682664_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9154285.0	0.0	20-76	35.0	19.119262653982368	75.03981512482952	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9682669	SRX9682669_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15113256.0	0.0	20-76	39.0	12.825981123268553	75.14261559520993	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX9682674	SRX9682674_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16000652.0	0.0	20-76	36.0	14.49532165620118	74.72930053100336	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX9699053	SRX9699053_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10053306.0	0.0	20-75	33.0	29.690344354967397	73.67569812358244	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX9699054	SRX9699054_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8611201.0	0.0	20-75	34.0	32.667200635835435	73.59674451914431	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX9699055	SRX9699055_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10020941.0	0.0	20-75	34.0	29.202883632670467	73.69268634552384	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX9699056	SRX9699056_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9895731.0	0.0	20-75	34.0	32.325508365146874	73.67466132618196	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX973265	SRX973265_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14162597.0	0.0	20-94	37.0	12.107761612053467	86.95434220150443	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRX973266	SRX973266_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11416763.0	0.0	20-94	42.0	4.347209982949226	88.55175797202762	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRX973267	SRX973267_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10917117.0	0.0	20-94	44.0	11.997853825474177	89.56446999697813	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRX973268	SRX973268_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10313500.0	0.0	20-94	45.0	12.132657501058619	89.67750967178941	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRX9960951	SRX9960951_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22591144.0	0.0	20-76	33.0	26.23982403892634	73.50891251899417	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9960952	SRX9960952_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20458255.0	0.0	20-76	32.0	25.494797149655085	73.51938198052571	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9960953	SRX9960953_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26565015.0	0.0	20-76	34.0	25.412234261058618	73.46472606923052	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX9960954	SRX9960954_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9063282.0	0.0	20-76	33.0	28.171725913189494	73.42557387048092	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX9960955	SRX9960955_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25427994.0	0.0	20-76	33.0	35.223124456630735	72.85485477147745	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9960956	SRX9960956_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12873499.0	0.0	20-76	33.0	28.411566259585197	73.37372364731608	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9960957	SRX9960957_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14941547.0	0.0	20-76	33.0	27.564980670211597	73.53476089189427	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9960958	SRX9960958_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16123326.0	0.0	20-76	33.0	27.36199848240383	73.53781049890078	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX9960959	SRX9960959_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16596919.0	0.0	20-76	33.0	25.49514274371078	73.46365599542904	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9960960	SRX9960960_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7449388.0	0.0	20-76	33.0	29.656269337259968	73.38425411590858	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX9960961	SRX9960961_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15261742.0	0.0	20-76	33.0	27.482760052644608	73.47933243793533	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX9960962	SRX9960962_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11399627.0	0.0	20-76	32.0	26.658503777579945	73.48875432503186	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX9960963	SRX9960963_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9511862.0	0.0	20-76	32.0	27.067763673446354	73.47343643126867	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX9960964	SRX9960964_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15076269.0	0.0	20-76	33.0	26.469916723349655	73.5195290028322	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX9960965	SRX9960965_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13818923.0	0.0	20-76	33.0	28.3666601349558	73.38665191201949	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX9960966	SRX9960966_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20364924.0	0.0	20-76	33.0	26.5237795208218	73.4446128058224	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
Vir_1	Vir_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4561685.0	0.0	20-151	34.0	16.57063880205223	150.54957455413953	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
